"GRP_CD","CMN_CD","GRP_NM","CMN_NM","ORDR","REF_KEY_1","REF_KEY_2","REF_KEY_3","REF_KEY_4","REF_KEY_5","REG_DT","REG_USR","UPD_DT","UPD_USR","USE_YN","DEL_YN"
CMMN_100,E,구인정보 경력,경력,3,"03","","","","","2017-07-03 17:27:16",SYSTEM,"2021-08-06 16:39:00","20201231162206001",Y,N
CMMN_100,N,구인정보 경력,신입,2,"02","","","","","2017-07-03 17:27:16",SYSTEM,"2021-08-06 16:38:49","20201231162206001",Y,N
CMMN_100,Z,구인정보 경력,관계없음,1,"01","","","","","2017-07-03 17:27:16",SYSTEM,"2021-08-06 16:38:43","20201231162206001",Y,N
CMMN_122,"1",잡코리아 경력 분류,신입,1,"02","","","","","2017-08-18 13:33:26",SYSTEM,"2021-08-06 16:36:47","20201231162206001",Y,N
CMMN_122,"2",잡코리아 경력 분류,경력,2,"03","","","","","2017-08-18 13:33:26",SYSTEM,"2021-08-06 16:37:03","20201231162206001",Y,N
CMMN_122,"3",잡코리아 경력 분류,신입/경력,3,"04","","","","","2017-08-18 13:33:26",SYSTEM,"2021-08-06 16:37:14","20201231162206001",Y,N
CMMN_122,"4",잡코리아 경력 분류,관계없음,4,"01","","","","","2017-08-18 13:33:26",SYSTEM,"2021-08-06 16:37:24","20201231162206001",Y,N
CMMN_284,"01",경력 분류(기업상담프로세스),신입,1,,,,,,"2023-10-20 09:50:16",SYSTEM,"2023-10-20 09:50:16",SYSTEM,Y,N
CMMN_284,"02",경력 분류(기업상담프로세스),"1~3년",2,,,,,,"2023-10-20 09:50:19",SYSTEM,"2023-10-20 09:50:19",SYSTEM,Y,N
CMMN_284,"03",경력 분류(기업상담프로세스),"4~6년",3,,,,,,"2023-10-20 09:50:20",SYSTEM,"2023-10-20 09:50:20",SYSTEM,Y,N
CMMN_284,"04",경력 분류(기업상담프로세스),"7~9년",4,,,,,,"2023-10-20 09:50:21",SYSTEM,"2023-10-20 09:50:21",SYSTEM,Y,N
CMMN_284,"05",경력 분류(기업상담프로세스),"10~15년",5,,,,,,"2023-10-20 09:50:22",SYSTEM,"2023-10-20 09:50:22",SYSTEM,Y,N
CMMN_284,"06",경력 분류(기업상담프로세스),"16~20년",6,,,,,,"2023-10-20 09:50:23",SYSTEM,"2023-10-20 09:50:23",SYSTEM,Y,N
CMMN_284,"07",경력 분류(기업상담프로세스),"21년이상",7,,,,,,"2023-10-20 09:50:24",SYSTEM,"2023-10-20 09:50:24",SYSTEM,Y,N
SRCH_22,"01",채용정보 경력,무관,1,,,,,,"2017-08-25 14:34:27",SYSTEM,"2018-12-26 14:21:56","20180108150053001",N,N
SRCH_22,"02",채용정보 경력,신입,2,,,,,,"2017-08-25 14:34:27",SYSTEM,"2017-08-25 14:34:27",SYSTEM,Y,N
SRCH_22,"03",채용정보 경력,경력,3,,,,,,"2017-08-25 14:34:27",SYSTEM,"2017-08-25 14:34:27",SYSTEM,Y,N
SRCH_22,"04",채용정보 경력,신입/경력,4,,,,,,"2017-08-25 14:34:27",SYSTEM,"2018-12-26 14:16:10","20180129100943001",Y,N
UNTACT_22,"01",비대면 채용 경력구분,무관,4,,,,,,"2021-04-22 10:06:00","20210103105125001","2021-04-22 10:07:03","20210103105125001",Y,N
UNTACT_22,"02",비대면 채용 경력구분,신입,1,,,,,,"2021-04-22 10:06:11","20210103105125001","2021-04-22 10:07:08","20210103105125001",Y,N
UNTACT_22,"03",비대면 채용 경력구분,경력,2,,,,,,"2021-04-22 10:06:44","20210103105125001","2021-04-22 10:07:13","20210103105125001",Y,N
UNTACT_22,"04",비대면 채용 경력구분,신입/경력,3,,,,,,"2021-04-22 10:06:56","20210103105125001","2021-04-22 10:07:23","20210103105125001",Y,N
UNTACT_23,"01",총경력선택,신입,1,,,,,,"2021-05-14 11:17:08","20210103105125001","2021-05-14 11:17:08","20210103105125001",Y,N
UNTACT_23,"02",총경력선택,"1년 미만",2,,,,,,"2021-05-14 11:17:23","20210103105125001","2021-05-14 11:17:23","20210103105125001",Y,N
UNTACT_23,"03",총경력선택,"1년 ~ 3년",3,,,,,,"2021-05-14 11:17:38","20210103105125001","2021-05-14 11:17:38","20210103105125001",Y,N
UNTACT_23,"04",총경력선택,"3년 ~ 5년",4,,,,,,"2021-05-14 11:17:47","20210103105125001","2021-05-14 11:17:47","20210103105125001",Y,N
UNTACT_23,"05",총경력선택,"5년 ~ 10년",5,,,,,,"2021-05-14 11:17:57","20210103105125001","2021-05-14 11:17:57","20210103105125001",Y,N
UNTACT_23,"06",총경력선택,"10년 ~ 20년",6,,,,,,"2021-05-14 11:18:07","20210103105125001","2021-05-14 11:18:07","20210103105125001",Y,N
UNTACT_23,"07",총경력선택,"20년 이상",7,,,,,,"2021-05-14 11:18:15","20210103105125001","2021-05-14 11:18:15","20210103105125001",Y,N
UNTACT_30,N,경력 여부,경력,2,"","","","","","2025-11-30 15:47:38",ADMIN,"2025-11-30 15:47:38",ADMIN,Y,N
UNTACT_30,Y,경력 여부,신입,1,"","","","","","2025-11-30 15:47:38",ADMIN,"2025-11-30 15:47:38",ADMIN,Y,N
