"GRP_CD","CMN_CD","GRP_NM","CMN_NM","ORDR","REF_KEY_1","REF_KEY_2","REF_KEY_3","REF_KEY_4","REF_KEY_5","REG_DT","REG_USR","UPD_DT","UPD_USR","USE_YN","DEL_YN"
CMMN_125,"1",잡코리아 근무 형태,정규직,1,"01","","","","","2017-08-18 13:33:27",SYSTEM,"2021-08-06 16:41:40","20201231162206001",Y,N
CMMN_125,"10",잡코리아 근무 형태,위촉직/개인사업자,10,"04","","","","","2017-08-18 13:33:27",SYSTEM,"2021-08-06 16:42:42","20201231162206001",Y,N
CMMN_125,"2",잡코리아 근무 형태,계약직,2,"02","","","","","2017-08-18 13:33:27",SYSTEM,"2021-08-06 16:41:47","20201231162206001",Y,N
CMMN_125,"3",잡코리아 근무 형태,인턴직,3,"03","","","","","2017-08-18 13:33:27",SYSTEM,"2021-08-06 16:41:53","20201231162206001",Y,N
CMMN_125,"4",잡코리아 근무 형태,파견직,4,"04","","","","","2017-08-18 13:33:27",SYSTEM,"2021-08-06 16:42:08","20201231162206001",Y,N
CMMN_125,"5",잡코리아 근무 형태,도급,5,"04","","","","","2017-08-18 13:33:27",SYSTEM,"2021-08-06 16:42:12","20201231162206001",Y,N
CMMN_125,"6",잡코리아 근무 형태,프리랜서,6,"04","","","","","2017-08-18 13:33:27",SYSTEM,"2021-08-06 16:42:18","20201231162206001",Y,N
CMMN_125,"7",잡코리아 근무 형태,아르바이트,7,"04","","","","","2017-08-18 13:33:27",SYSTEM,"2021-08-06 16:42:22","20201231162206001",Y,N
CMMN_125,"8",잡코리아 근무 형태,연수생/교육생,8,"04","","","","","2017-08-18 13:33:27",SYSTEM,"2021-08-06 16:42:26","20201231162206001",Y,N
CMMN_125,"9",잡코리아 근무 형태,병역특례,9,"04","","","","","2017-08-18 13:33:27",SYSTEM,"2021-08-06 16:42:33","20201231162206001",Y,N
CMMN_371,"01",공공일자리 고용형태,정규직,1,R1010,"","","","","2024-03-26 15:55:31","20240204171526156","2024-03-26 15:55:31","20240204171526156",Y,N
CMMN_371,"02",공공일자리 고용형태,계약직,2,R1020,"","","","","2024-03-26 15:55:31","20240204171526156","2024-03-26 15:55:31","20240204171526156",Y,N
CMMN_371,"03",공공일자리 고용형태,무기계약직,3,R1030,"","","","","2024-03-26 15:55:31","20240204171526156","2024-03-26 15:55:31","20240204171526156",Y,N
CMMN_371,"04",공공일자리 고용형태,비정규직,4,R1040,"","","","","2024-03-26 15:55:31","20240204171526156","2024-03-26 15:55:31","20240204171526156",Y,N
CMMN_371,"05",공공일자리 고용형태,청년인턴,5,R1050,"","","","","2024-03-26 15:55:31","20240204171526156","2024-03-26 15:55:31","20240204171526156",Y,N
CMMN_371,"06",공공일자리 고용형태,청년인턴(체험형),5,R1060,"","","","","2024-03-26 15:55:31","20240204171526156","2024-03-26 15:55:31","20240204171526156",Y,N
CMMN_371,"07",공공일자리 고용형태,청년인턴(채용형),6,R1070,"","","","","2024-03-26 15:55:31","20240204171526156","2024-03-26 15:55:31","20240204171526156",Y,N
UNTACT_03,"01",비대면 채용 고용형태,정규직,1,,,,,,"2020-11-13 09:22:06","20200428091753001","2020-11-13 09:22:06","20200428091753001",Y,N
UNTACT_03,"02",비대면 채용 고용형태,계약직,2,,,,,,"2020-11-13 09:22:06","20200428091753001","2020-11-13 09:22:06","20200428091753001",Y,N
UNTACT_03,"03",비대면 채용 고용형태,파트타임,3,,,,,,"2020-11-13 09:22:06","20200428091753001","2020-11-13 09:22:06","20200428091753001",Y,N
UNTACT_03,"04",비대면 채용 고용형태,프리랜서,4,,,,,,"2020-11-13 09:22:06","20200428091753001","2020-11-13 09:22:06","20200428091753001",Y,N
UNTACT_03,"05",비대면 채용 고용형태,인턴,5,,,,,,"2020-11-13 09:22:06","20200428091753001","2020-11-13 09:22:06","20200428091753001",Y,N
UNTACT_03,"06",비대면 채용 고용형태,파견직,6,,,,,,"2020-11-13 09:22:06","20200428091753001","2020-11-13 09:22:06","20200428091753001",Y,N
UNTACT_08,"01",비대면채용 고용형태,정규직,1,,,,,,"2020-11-13 09:22:07","20200428091753001","2020-11-13 09:22:07","20200428091753001",Y,N
UNTACT_08,"02",비대면채용 고용형태,계약직,2,,,,,,"2020-11-13 09:22:07","20200428091753001","2020-11-13 09:22:07","20200428091753001",Y,N
UNTACT_08,"03",비대면채용 고용형태,인턴직,3,,,,,,"2020-11-13 09:22:07","20200428091753001","2020-11-13 09:22:07","20200428091753001",Y,N
UNTACT_08,"04",비대면채용 고용형태,프리랜서/도급/아르바이트,4,,,,,,"2020-11-13 09:22:07","20200428091753001","2021-05-12 09:49:45","20210103105125001",Y,N
UNTACT_08,"05",비대면채용 고용형태,기타,5,,,,,,"2020-11-13 09:22:07","20200428091753001","2021-05-12 09:48:52","20210103105125001",Y,N
