"GRP_CD","CMN_CD","GRP_NM","CMN_NM","ORDR","REF_KEY_1","REF_KEY_2","REF_KEY_3","REF_KEY_4","REF_KEY_5","REG_DT","REG_USR","UPD_DT","UPD_USR","USE_YN","DEL_YN"
CMMN_101,"00",구인정보 학력,학력무관,1,,,,,,"2017-07-03 17:27:16",SYSTEM,"2017-07-03 17:27:16",SYSTEM,Y,N
CMMN_101,"01",구인정보 학력,초졸이하,2,,,,,,"2017-07-03 17:27:16",SYSTEM,"2017-07-03 17:27:16",SYSTEM,Y,N
CMMN_101,"02",구인정보 학력,중졸,3,,,,,,"2017-07-03 17:27:16",SYSTEM,"2018-01-08 19:11:44","20170401010000001",Y,N
CMMN_101,"03",구인정보 학력,고졸,4,,,,,,"2017-07-03 17:27:16",SYSTEM,"2017-07-03 17:27:16",SYSTEM,Y,N
CMMN_101,"04",구인정보 학력,대졸(2~3년),5,,,,,,"2017-07-03 17:27:16",SYSTEM,"2017-07-03 17:27:16",SYSTEM,Y,N
CMMN_101,"05",구인정보 학력,대졸(4년),6,,,,,,"2017-07-03 17:27:16",SYSTEM,"2017-07-03 17:27:16",SYSTEM,Y,N
CMMN_101,"06",구인정보 학력,석사,7,,,,,,"2017-07-03 17:27:16",SYSTEM,"2017-07-03 17:27:16",SYSTEM,Y,N
CMMN_101,"07",구인정보 학력,박사,8,,,,,,"2017-07-03 17:27:16",SYSTEM,"2017-07-03 17:27:16",SYSTEM,Y,N
CMMN_12,"01",학력 코드,초등학교 졸업생,1,"01",초등학교,졸업생,,,"2017-03-30 21:18:12",SYSTEM,"2017-03-30 21:18:12",SYSTEM,Y,N
CMMN_12,"02",학력 코드,중학교 졸업생,2,"02",중학교,졸업생,,,"2017-03-30 21:18:12",SYSTEM,"2017-03-30 21:18:12",SYSTEM,Y,N
CMMN_12,"03",학력 코드,고등학교 졸업생,3,"03",고등학교,졸업생,,,"2017-03-30 21:18:12",SYSTEM,"2017-03-30 21:18:12",SYSTEM,Y,N
CMMN_12,"04",학력 코드,고등학교 재학생,4,"03",고등학교,재학생,,,"2017-03-30 21:18:13",SYSTEM,"2017-03-30 21:18:13",SYSTEM,Y,N
CMMN_12,"05",학력 코드,대학(2~3년제) 졸업생,5,"04",대학(2~3년제),졸업생,,,"2017-03-30 21:18:13",SYSTEM,"2017-03-30 21:18:13",SYSTEM,Y,N
CMMN_12,"06",학력 코드,대학(2~3년제) 재학생,6,"04",대학(2~3년제),재학생,,,"2017-03-30 21:18:13",SYSTEM,"2017-03-30 21:18:13",SYSTEM,Y,N
CMMN_12,"07",학력 코드,대학(4년제) 졸업생,7,"05",대학(4년제),졸업생,,,"2017-03-30 21:18:13",SYSTEM,"2017-03-30 21:18:13",SYSTEM,Y,N
CMMN_12,"08",학력 코드,대학(4년제) 재학생,8,"05",대학(4년제),재학생,,,"2017-03-30 21:18:13",SYSTEM,"2017-03-30 21:18:13",SYSTEM,Y,N
CMMN_12,"09",학력 코드,대학원 졸업생,9,"06",대학원,졸업생,,,"2017-03-30 21:18:13",SYSTEM,"2017-03-30 21:18:13",SYSTEM,Y,N
CMMN_12,"10",학력 코드,대학원 재학생,10,"06",대학원,재학생,,,"2017-03-30 21:18:13",SYSTEM,"2017-03-30 21:18:13",SYSTEM,Y,N
CMMN_124,"0",잡코리아 학력 분류,학력무관,1,"00","","","","","2017-08-18 13:33:27",SYSTEM,"2021-08-06 16:39:53","20201231162206001",Y,N
CMMN_124,"1",잡코리아 학력 분류,초졸이하,2,"01","","","","","2017-08-18 13:33:27",SYSTEM,"2021-08-06 16:39:58","20201231162206001",Y,N
CMMN_124,"2",잡코리아 학력 분류,중졸,3,"02","","","","","2017-08-18 13:33:27",SYSTEM,"2021-08-06 16:40:03","20201231162206001",Y,N
CMMN_124,"3",잡코리아 학력 분류,고졸,4,"03","","","","","2017-08-18 13:33:27",SYSTEM,"2021-08-06 16:40:10","20201231162206001",Y,N
CMMN_124,"4",잡코리아 학력 분류,대졸(2~3년),5,"04","","","","","2017-08-18 13:33:27",SYSTEM,"2021-08-06 16:40:22","20201231162206001",Y,N
CMMN_124,"5",잡코리아 학력 분류,대졸(4년),6,"05","","","","","2017-08-18 13:33:27",SYSTEM,"2021-08-06 16:40:27","20201231162206001",Y,N
CMMN_124,"6",잡코리아 학력 분류,석사,7,"06","","","","","2017-08-18 13:33:27",SYSTEM,"2021-08-06 16:40:32","20201231162206001",Y,N
CMMN_124,"7",잡코리아 학력 분류,박사,8,"07","","","","","2017-08-18 13:33:27",SYSTEM,"2021-08-06 16:40:37","20201231162206001",Y,N
CMMN_283,"01",학력 분류(기업상담프로세스),고졸,1,,,,,,"2023-10-20 09:46:31",SYSTEM,"2023-10-20 09:46:31",SYSTEM,Y,N
CMMN_283,"02",학력 분류(기업상담프로세스),대졸(2~3년),2,,,,,,"2023-10-20 09:47:58",SYSTEM,"2023-10-20 09:47:58",SYSTEM,Y,N
CMMN_283,"03",학력 분류(기업상담프로세스),대졸(4년),3,,,,,,"2023-10-20 09:47:59",SYSTEM,"2023-10-20 09:47:59",SYSTEM,Y,N
CMMN_283,"04",학력 분류(기업상담프로세스),석사,4,,,,,,"2023-10-20 09:48:00",SYSTEM,"2023-10-20 09:48:00",SYSTEM,Y,N
CMMN_283,"05",학력 분류(기업상담프로세스),박사,5,,,,,,"2023-10-20 09:48:02",SYSTEM,"2023-10-20 09:48:02",SYSTEM,Y,N
CMMN_373,"01",공공일자리 학력조건,학력무관,1,R7010,"","","","","2024-03-26 15:55:31","20240204171526156","2024-03-26 15:55:31","20240204171526156",Y,N
CMMN_373,"02",공공일자리 학력조건,중졸이하,2,R7020,"","","","","2024-03-26 15:55:31","20240204171526156","2024-03-26 15:55:31","20240204171526156",Y,N
CMMN_373,"03",공공일자리 학력조건,고졸,3,R7030,"","","","","2024-03-26 15:55:31","20240204171526156","2024-03-26 15:55:31","20240204171526156",Y,N
CMMN_373,"04",공공일자리 학력조건,대졸(2~3년),4,R7040,"","","","","2024-03-26 15:55:31","20240204171526156","2024-03-26 15:55:31","20240204171526156",Y,N
CMMN_373,"05",공공일자리 학력조건,대졸(4년),5,R7050,"","","","","2024-03-26 15:55:31","20240204171526156","2024-03-26 15:55:31","20240204171526156",Y,N
CMMN_373,"06",공공일자리 학력조건,석사,6,R7060,"","","","","2024-03-26 15:55:31","20240204171526156","2024-03-26 15:55:31","20240204171526156",Y,N
CMMN_373,"07",공공일자리 학력조건,박사,7,R7070,"","","","","2024-03-26 15:55:31","20240204171526156","2024-03-26 15:55:31","20240204171526156",Y,N
JOBALIO_03,"01",공공일자리(크롤링) 학력,학력무관,1,"","","","","","2022-03-29 12:27:30",SYSTEM,"2022-03-29 12:27:30",SYSTEM,Y,N
JOBALIO_03,"02",공공일자리(크롤링) 학력,중졸이하,2,"","","","","","2022-03-29 12:27:30",SYSTEM,"2022-03-29 12:27:30",SYSTEM,Y,N
JOBALIO_03,"03",공공일자리(크롤링) 학력,고졸,3,"","","","","","2022-03-29 12:27:30",SYSTEM,"2022-03-29 12:27:30",SYSTEM,Y,N
JOBALIO_03,"04",공공일자리(크롤링) 학력,대졸(2~3년),4,"","","","","","2022-03-29 12:27:30",SYSTEM,"2022-03-29 12:27:30",SYSTEM,Y,N
JOBALIO_03,"05",공공일자리(크롤링) 학력,대졸(4년),5,"","","","","","2022-03-29 12:27:30",SYSTEM,"2022-03-29 12:27:30",SYSTEM,Y,N
JOBALIO_03,"06",공공일자리(크롤링) 학력,석사,6,"","","","","","2022-03-29 12:27:30",SYSTEM,"2022-03-29 12:27:30",SYSTEM,Y,N
JOBALIO_03,"07",공공일자리(크롤링) 학력,박사,7,"","","","","","2022-03-29 12:27:30",SYSTEM,"2022-03-29 12:27:30",SYSTEM,Y,N
JOBALIO_04,"01",공공일자리(크롤링) 학력,정규직,1,"","","","","","2022-03-29 12:27:30",SYSTEM,"2022-03-29 12:27:30",SYSTEM,Y,N
JOBALIO_04,"02",공공일자리(크롤링) 학력,무기계약직,2,"","","","","","2022-03-29 12:27:30",SYSTEM,"2022-03-29 12:27:30",SYSTEM,Y,N
