HIRE_SEQ,EMP_CO_NO,CO_CLCD,CO_CLCD_NM,CO_NM,BUSINO,REG_LOG_IMG_NM,MAP_COOR_Y,MAP_COOR_X,HOMEPG,CO_INTRO_SUMMARY_CONT,CO_INTRO_CONT,MAIN_BUSI_CONT,REG_DATE,REG_USR,UPD_DATE,UPD_USR,USE_YN
8948,E000024463,00,중소기업,더블유컨셉코리아,2118819183,http://www.work.go.kr/framework/filedownload/getImage.do?filePathName=tqyczLUvysXSEcOVhPgDCuIOwVNcq77Dim9pa6KEdEug%2BECv4gUBen5HQ5Vk0tniGHjavDamLrVugcv2dC2Bd7q6jz9Tp%2Fthj4g%2BymVUX18%3D,37.5193639121001,126.904003292703,https://www.wconcept.co.kr/Etc/Company,디자이너 편집샵,W컨셉은 패션과 아트를 넘어 라이프 스타일 전반에 아우르는 모든 것들을 수용하며 선보이는 크리에이티브 디자이너 편집샵으로 국내 다양한 디자이너들과의 단독 콜라보레이션 컬렉션을 비롯하여 매시즌 마다 W컨셉에서만 만날 수 있는 흥미롭고 감각적인 패션 프로젝트들을 선보이고 있습니다.,,2025-11-05 17:31:15,API_SYNC,2026-06-26 01:10:05,API_SYNC,Y
8949,E000024443,00,중소기업,효성네오켐(국세청오류),3588103604,http://www.work.go.kr/framework/filedownload/getImage.do?filePathName=tqyczLUvysXSEcOVhPgDCsBOet0wj50uVKDmfRi6D5PWteHPxvpZimmD9L%2Bz4RXJDzGHTDDOTb%2FM4TvxZrh1V3iSd0bwKPooDd8mCAVJRfk%3D,37.5006686503978,127.00325723632,https://www.hyosungchemical.com/kr/business/neochem?type1=nf3,기타 기초 무기 화학물질 제조업,"반도체, 디스플레이 기술동향에 따른 소재 Solution 제공반도체 및 디스플레이 고객의 기술로드맵에 따라 선행적으로 소재에 대한 솔루션을 제공하기 위해 연구소, 영업, 생산 조직이 유기적으로 연계하여 기민하게 움직이고 있습니다.다양한 제품 포트폴리오와 안정적인 공급망 구축Global 특수가스 공급 회사로서 다양한 제품을 공급하고 있으며, 생산거점을 다각화하여 안정적인 공급 체계를 구축하고 있습니다.우수한 기술력을 바탕으로 특수소재 소재 개발HYOSUNG Neochem 만의 독자적 기술 개발과 끊임없는 연구를 통해 고순도 NF3를 자체 개발하였고, 20%F2/N2, 중수소(D2), 염소(Cl2), 염화수소(HCl) 등 다양한 특수가스 포트폴리오를 가지고 있습니다.",,2025-11-05 17:31:15,API_SYNC,2026-06-26 01:10:05,API_SYNC,Y
8950,E000024423,00,중소기업,후성코퍼레이션,8818602599,http://www.work.go.kr/framework/filedownload/getImage.do?filePathName=tqyczLUvysXSEcOVhPgDCtEL%2BMIsfniVTIMAz3Y%2Fjr%2BDSrrmpiDXlg38E9bKoyWYLN9lUCPcoqtR%2BSmFLBO8aDeJQo%2BCw%2BSdSdlIHsn06f8%3D,37.3496914356906,127.107352509443,http://www.foosungcorp.com/kr/,글로벌 종합무역상사,"후성코퍼레이션㈜는 1983년 창립부터 산업 기초소재 분야에 집중해 차별화된 경쟁력을 키워 왔습니다.현재는 국내를 넘어 중국, 몽골, 베트남 등 해외공장 및 사무소 설립을 통해 세계 무대를 누비며 고객에게 신뢰받는 글로벌 종합무역상사로 거듭나고 있습니다. 후성코퍼레이션㈜는 지난 40여 년의 역사 동안 쌓아온 다양한 비즈니스 노하우와 정보, 방대한 네트워크 등으로 고객 가치를 만족시키는 전략적인 판매 모델을 제시하고 있습니다.",,2025-11-05 17:31:15,API_SYNC,2026-06-26 01:10:05,API_SYNC,Y
8951,E000024403,00,중소기업,케이티피앤엠,7618103678,http://www.work.go.kr/framework/filedownload/getImage.do?filePathName=tqyczLUvysXSEcOVhPgDCgDES3HkUZ%2BbIlgTP9Lwvh%2F6fooRXacChuTznZlPNylx6C0GGD4eaD%2BegumDl20OG1gQnYu3kZx%2Bj%2BEH73ukMqM%3D,37.4294412873965,126.991735038714,https://ktpowerandmw.co.kr/,KT의 통신 인프라 및 도서통신시설을 유지 관리하는 회사,"kt p&m은 KT의 통신 인프라 및 도서통신시설을 유지 관리하기 위해 2025년 1월에 설립된 KT의 그룹사입니다. kt p&m은 특고압 수배전 전원시설부터 정류기, 축전지, 발전기 뿐만 아니라, 국내 유일의 도서통신시설의 인프라 설계, 운용, 유지보수까지 가능한 전문인력을 보유하고 있습니다.",,2025-11-05 17:31:15,API_SYNC,2026-06-26 01:10:05,API_SYNC,Y
8952,E000024385,00,중소기업,한화라이프랩,1088170207,http://www.work.go.kr/framework/filedownload/getImage.do?filePathName=tqyczLUvysXSEcOVhPgDCpHmCsuntL92Q6%2BfN45sZ%2Bkv7Elaje1JuH4c0p3BY%2BzuuFaDYh4HCYDtbVB3wKd1%2FQGknpjuqh4UTZ%2B8KCHnrFc%3D,37.5642332782202,126.977571839325,http://www.hanwhalifelab.co.kr/,금융서비스 기업,한화라이프랩은 종합보험 상품 판매 및 서비스 전문회사 입니다.1946년 이래 대한민국에서 가장 오랫동안 인생과 금융을 연구한 한화생명의 믿음과 디지털 금융의 도전과 혁신의 선도에 선 한화생명의 전문성으로 철저한 분석을 통해 당신에게 꼭 맞는 최적의 금융서비스를 드립니다.,,2025-11-05 17:31:15,API_SYNC,2026-06-26 01:10:05,API_SYNC,Y
8953,E000024384,30,공공기관,아산시시설관리공단,3128219072,http://www.work.go.kr/framework/filedownload/getImage.do?filePathName=tqyczLUvysXSEcOVhPgDCowG159jqwPxRXN7D4kT83hFIG2dQF3KxBAZvFFUsuWUrTFqRc%2BHCJ2qsR5oV3JTvkQS6S%2B0ZhSoQTNOCjJhXTk%3D,36.7999246293672,126.977207744708,https://www.asanfmc.or.kr/,안전한 공공시설 운영을 통한 시민의 행복지수를 높이는 혁신공기업,"공단은 생활자원처리장, 생태곤충원, 영인산자연휴양림, 공영주차장, 배미수영장 등 시민 생활에 밀접하고 다양한 생활 SOC 시설을 운영하고 있는 아산 유일의 시설관리 전문 공기업입니다.",,2025-11-05 17:31:15,API_SYNC,2026-06-26 01:10:17,API_SYNC,Y
8954,E000024383,40,중견기업,서원유통,2948700310,http://www.work.go.kr/framework/filedownload/getImage.do?filePathName=tqyczLUvysXSEcOVhPgDCuvnMN0IoPg1nzBRF6fQC1qqPFzx38%2FUtXDYWa9SP4TzmHtU4n0UneKGOZof6ffSzpVEVhvMII%2BUcNmZvKqWTps%3D,35.2146981873289,129.005075762399,https://www.seowon.com/,영남지역 향토유통 업체,"늘 가까운 이웃, 실속할인점 탑마트를 운영하고 있는 (주)서원유통은 1981년에 창업주 故이원길 회장이 설립하여 올해 45주년을 맞이한 영남지역 향토유통 업체입니다.""우리동네는 탑마트가 있어서 참 좋다."" 라는 평가를 경영목표로 정하고 부산 22개점, 경남지역 37개점, 경북지역에 11개점, 울산에 6개점 등 총 76개의 직영 슈퍼마켓을 운영하고 있습니다.탑마트는 농·수·축산물 등 신선식품 매출 구성비가 총 매출액의 51% 이상을 차지할 만큼 대한민국 최고의 신선식품 전문 슈퍼마켓입니다.농협 중앙회 산하 전국 110여개의 단위농협, 진주, 김해, 밀양, 청도, 거창, 강원도 등 지방 자치단체와 제주, 완도 등 전국 각지 30여 곳의 포구, 농·수·축산물 특산지 등과 업무 협약을 통해 신선한 농·수·축산물을 밤낮으로 공급받고 있습니다.",,2025-11-05 17:31:15,API_SYNC,2026-06-26 01:10:17,API_SYNC,Y
8955,E000024363,00,중소기업,넥슨스페이스,1448115947,http://www.work.go.kr/framework/filedownload/getImage.do?filePathName=tqyczLUvysXSEcOVhPgDChbK91834ozPIaHVGjN9CeRsigPq%2B6yJCXl7R2oGYcGATVnuyCp54ur8nYn8kPLn68GbDIo%2FqHpuEDjZQCdFo4s%3D,37.4020344323437,127.103466478297,https://www.nexonspace.co.kr/,공간과 가치를 더하는 기업,"넥슨의 모든 공간에 가치를 더합니다.경험이 어우러지는 업무 공간을 기획하고 운영하며, 부동산 자산을 관리합니다.",,2025-11-05 17:31:15,API_SYNC,2026-06-26 01:10:05,API_SYNC,Y
8956,E000024343,00,중소기업,선진햄,1358127696,http://www.work.go.kr/framework/filedownload/getImage.do?filePathName=tqyczLUvysXSEcOVhPgDCsKK3sPP7hRG03BHnxkBMsfXzKQ9ewf%2BBN44YTormxGDv0kbaoiPwnn9yq%2FRK2Tk%2B7dMkI6FAJn88FfY%2Bu2G8Vo%3D,36.9711189914589,127.508478725866,https://www.sunjin.com/,축산식품업,"선진의 시작은 이천의 한 작은 농장이었습니다.직원들의 땀방울이 모이자 건강한 돼지들이 늘어났고, 선진은 돼지를 동네의 가까운 농가로 보내 부업으로 키울 수 있도록 하였습니다.이것이 바로 선진이 처음으로 만든, 작지만 넉넉한 세상이었습니다.선진은 또 다른 풍요로운 세상을 위해 50년의 시간 동안 열정을 다했습니다.국내 최초로 종돈 사업을 시작하여 우리나라 날씨에 적응해 튼튼히 잘 크는 돼지를 만들어내었고, 국내 최초의 브랜드육을 개발하여 밥상 위에 안심하고 내어놓을 수 있는 선진포크한돈을 탄생시켰습니다.그렇게 선진은 ‘최초’의 이야기를 통해 이전에 없던 새로운 길을 열어 나갔습니다.그 발걸음은 앞으로도 계속될 것입니다.ICT 과학기술을 활용한 스마트팜을 통해 여유로운 농장을 만들고, 농장에서 식탁까지 정성으로 관리한 먹거리를 통해 새로운 식문화를 전할 수 있도록 미래의 축산식품업을 선도해나가겠습니다.",,2025-11-05 17:31:15,API_SYNC,2026-06-26 01:10:05,API_SYNC,Y
8957,E000024303,40,중견기업,삼천리이에스,1078610031,http://www.work.go.kr/framework/filedownload/getImage.do?filePathName=tqyczLUvysXSEcOVhPgDCtcvmZs3CZHPGzqz2NrA7%2FiqVhCqcxfJ9C0hiDh2CWh68KagnrMVZv5tREpjvGBeA3RdbNsGMaVcokvBu91RkEE%3D,37.5209430745337,126.925573933011,https://samchullyes.co.kr/,에너지?환경 전문 솔루션 기업,"삼천리ES는 에너지와 환경분야에서 사업개발부터 엔지니어링?구매?시공?운영까지 전방위적인 사업을 영위하는 에너지?환경 전문 솔루션 기업입니다.에너지를 생산, 공급, 소비하는 과정에서 에너지를 효율화하고 폐기물의 재자원화, 친환경에너지 활용 등을 위한 국내 최고 수준의 기술력과 엔지니어링 역량을 바탕으로 국내 최대 연료전지 시공 실적을 보유하는 등 사업을 확장하고 있습니다.",,2025-11-05 17:31:15,API_SYNC,2026-06-26 01:10:17,API_SYNC,Y
