BIZRNO,ENT_NM,HDQTR_KOR_ADRS,HDQTR_KOR_DETAIL_ADRS,HDQTR_LEGAL_CD,HOMP_URL
  12986551,윈스,,,,
0000000001,경기도아동복지협회,"경기 수원시 장안구 팔달로 294 (영화동, 명문빌딩)",2층,4111113400,http://www.i119.or.kr/main/main.php
0000000002,지역아동센터 경기북부지원단,"경기 남양주시 평내로 167 (평내동, 늘봄프라자)",4층,4136010200,
0000000003,경기도시장군수협의회,"경기 수원시 팔달구 신풍로23번길 68 (신풍동, 선경도서관)",,4111513000,
0000000004,경기도북부소방재난본부,경기 의정부시 신흥로 174 (의정부동),KT별관 3층,4115010100,
0000000005,경기도소방재난본부,"경기 수원시 권선구 동수원로 286 (권선동, 수원남부소방서)",,4111313700,
0000000008,경기북동부해바라기센터,"경기 의정부시 흥선로 142 (의정부동, 경기도도립의료원의정부병원)",3층,4115010100,
0000000009,경기도종자관리소,"경기 수원시 영통구 반정로 215 (망포동, 경기도농업기술원종자관리소)",,4111710700,
0000000010,경기도노인보호전문기관,,,,
0000000011,경기도동물위생시험소,"경기 수원시 권선구 칠보로1번길 63 (금곡동, 축산위생연구소)",,4111313400,
0000000012,경기도미술관,"경기 안산시 단원구 동산로 268 (초지동, 경기도미술관)",,4127310700,
0000000013,경기도노인종합상담센터,"경기 수원시 팔달구 인계로101번길 1 (인계동, 경기도 노인회관)",4층,4111514100,
0000000015,경기도보건환경연구원,"경기 수원시 장안구 파장천로 95 (파장동, 경기도보건환경연구원)",,4111112900,
0000000016,경기수자원본부,"경기 광주시 남종면 산수로 1692 (분원리, 경기도수자원본부)",,4161035021,
0000000017,경기도소방학교,"경기 용인시 처인구 남사면 천덕산로11번길 42 (봉명리, 경기도소방학교)",,4146132024,
0000000018,(재)경기도시장상권진흥원,"경기 수원시 영통구 광교중앙로 140 (하동, 수원컨벤션센터)",,4111710400,
0000000019,경기도어린이박물관,경기 용인시 기흥구 상갈로 6 (상갈동),,4146310300,
0000000020,경기도사격테마파크,"경기 화성시 양감면 사격장길 142 (사창리, 화성경기종합사격장)",,4159040022,
0000000021,(사)경기실버포럼,"경기 안양시 만안구 안양로384번길 50 (안양동, 안양2동주민센터)",,4117110100,
0000000022,가평군 상하수도사업소,"경기 가평군 가평읍 호반로 2463-41 (달전리, 가평군상수도사업소)",,4182025023,http://www.gp.go.kr/water/index.do
0000000023,수도권동북부거점도시 남양주,"경기 남양주시 경춘로 1037 (금곡동, 남양주시청제1청사)",,4136010300,https://www.nyj.go.kr/main/1
0000000024,두드림동두천,경기 동두천시 방죽로 23 (생연동),생연동438,4125010300,https://www.ddc.go.kr/ddc/index.do
0000000025,평택소방서,"경기 평택시 중앙로 273 (비전동, 평택소방서 비전119안전센터)",,4122011800,https://119.gg.go.kr/pyeongtaek
0000000026,경기도북부 육아종합지원센터,"경기 의정부시 둔야로 9 (의정부동, 동원관)",,4115010100,http://gyeongginorth.childcare.go.kr/ccef/community/notice/NoticeSl.jsp
0000000028,고양시보건소,"경기 고양시 덕양구 고양시청로 10 (주교동, 고양시청)",,4128110100,http://www.goyang.go.kr/health/index.do
0000000031,경기도 피해장애아동쉼터,,,,https://www.gg.go.kr/
0000000032,경기도사회적경제원,"경기 수원시 팔달구 효원로 1 (매산로3가, 경기도청)",,4111513600,https://www.gg.go.kr/
0000000033,경기도중독관리통합지원센터,,,,https://www.gg.go.kr/
0000000034,경기도이동편의시설기술지원센터,경기 수원시 권선구 산업로 180 (고색동),201,4111312800,http://www.m-udcenter.org/
