테이블,테이블코멘트,컬럼,컬럼순서,PK,타입,길이,NULL,컬럼코멘트
tb_app_hire_info,Work24 기업 채용 정보 (API),HIRE_SEQ,1,PRI,bigint,bigint,NO,시퀀스 (PK)
tb_app_hire_info,Work24 기업 채용 정보 (API),EMP_CO_NO,2,UNI,varchar,varchar(20),NO,
tb_app_hire_info,Work24 기업 채용 정보 (API),CO_CLCD,3,MUL,varchar,varchar(100),YES,
tb_app_hire_info,Work24 기업 채용 정보 (API),CO_PM,4,MUL,varchar,varchar(100),YES,
tb_app_hire_info,Work24 기업 채용 정보 (API),CO_CLCD_NM,5,,varchar,varchar(100),YES,
tb_app_hire_info,Work24 기업 채용 정보 (API),CO_NM,6,MUL,varchar,varchar(200),YES,기업명 (API: coNm)
tb_app_hire_info,Work24 기업 채용 정보 (API),BUSINO,7,MUL,varchar,varchar(20),YES,
tb_app_hire_info,Work24 기업 채용 정보 (API),REG_LOG_IMG_NM,8,,text,text,YES,
tb_app_hire_info,Work24 기업 채용 정보 (API),MAP_COOR_Y,9,,varchar,varchar(30),YES,
tb_app_hire_info,Work24 기업 채용 정보 (API),MAP_COOR_X,10,,varchar,varchar(30),YES,
tb_app_hire_info,Work24 기업 채용 정보 (API),HOMEPG,11,,text,text,YES,
tb_app_hire_info,Work24 기업 채용 정보 (API),CO_INTRO_SUMMARY_CONT,12,,text,text,YES,
tb_app_hire_info,Work24 기업 채용 정보 (API),CO_INTRO_CONT,13,,longtext,longtext,YES,
tb_app_hire_info,Work24 기업 채용 정보 (API),MAIN_BUSI_CONT,14,,text,text,YES,
tb_app_hire_info,Work24 기업 채용 정보 (API),REG_DATE,15,,datetime,datetime,NO,등록일
tb_app_hire_info,Work24 기업 채용 정보 (API),REG_USR,16,,varchar,varchar(20),NO,
tb_app_hire_info,Work24 기업 채용 정보 (API),UPD_DATE,17,,datetime,datetime,NO,수정일
tb_app_hire_info,Work24 기업 채용 정보 (API),UPD_USR,18,,varchar,varchar(20),NO,
tb_app_hire_info,Work24 기업 채용 정보 (API),USE_YN,19,MUL,char,char(1),NO,
tb_empmn_api_adit,잡코리아_워크넷추가정보,SEQ,1,PRI,bigint,bigint,NO,시퀀스
tb_empmn_api_adit,잡코리아_워크넷추가정보,API_SEQ,2,,varchar,varchar(50),NO,
tb_empmn_api_adit,잡코리아_워크넷추가정보,BIZRNO,3,MUL,varchar,varchar(10),NO,
tb_empmn_api_adit,잡코리아_워크넷추가정보,ADIT_GRP_CD,4,MUL,varchar,varchar(10),YES,
tb_empmn_api_adit,잡코리아_워크넷추가정보,ADIT_CD,5,,varchar,varchar(10),YES,
tb_empmn_api_adit,잡코리아_워크넷추가정보,REG_DT,6,,datetime,datetime,NO,등록일자
tb_empmn_api_adit,잡코리아_워크넷추가정보,REG_USR,7,,varchar,varchar(20),YES,
tb_empmn_api_adit,잡코리아_워크넷추가정보,UPD_DT,8,,datetime,datetime,NO,수정일자
tb_empmn_api_adit,잡코리아_워크넷추가정보,UPD_USR,9,,varchar,varchar(20),YES,
tb_empmn_api_adit,잡코리아_워크넷추가정보,SE_STL,10,,char,char(1),YES,
