GRP_CD,CMN_CD,GRP_NM,CMN_NM,ORDR,REF_KEY_1,REF_KEY_2,REF_KEY_3,REF_KEY_4,REF_KEY_5,REG_DT,REG_USR,UPD_DT,UPD_USR,USE_YN,DEL_YN
CMMN_264,01,워크넷 직종분류,직종분류,1,01,,,,,2021-08-09 13:15:31,SYSTEM,2021-08-09 13:15:31,SYSTEM,Y,N
CMMN_264,011,워크넷 직종분류,행정·경영·금융·보험 관리직,2,01,,,,,2021-08-09 13:15:31,SYSTEM,2021-08-09 13:15:31,SYSTEM,Y,N
CMMN_264,011100,워크넷 직종분류,의회의원·고위공무원 및 공공단체임원,3,16,,,,,2021-08-09 13:15:31,SYSTEM,2021-08-09 13:15:31,SYSTEM,Y,N
CMMN_264,011200,워크넷 직종분류,기업 고위임원,4,01,,,,,2021-08-09 13:15:31,SYSTEM,2021-08-09 13:15:31,SYSTEM,Y,N
CMMN_264,012,워크넷 직종분류,교육·법률·복지·의료·예술·방송·정보통신 등 전문서비스 관리직,14,01,,,,,2021-08-09 13:15:32,SYSTEM,2021-08-09 13:15:32,SYSTEM,Y,N
CMMN_264,012100,워크넷 직종분류,정부행정 관리자,5,16,,,,,2021-08-09 13:15:32,SYSTEM,2021-08-09 13:15:32,SYSTEM,Y,N
CMMN_264,012200,워크넷 직종분류,경영지원 관리자,6,01,,,,,2021-08-09 13:15:32,SYSTEM,2021-08-09 13:15:32,SYSTEM,Y,N
CMMN_264,012201,워크넷 직종분류,경영기획 부서장,7,01,,,,,2021-08-09 13:15:32,SYSTEM,2021-08-09 13:15:32,SYSTEM,Y,N
CMMN_264,012202,워크넷 직종분류,인사·노무·교육·총무·감사 부서장,8,01,,,,,2021-08-09 13:15:32,SYSTEM,2021-08-09 13:15:32,SYSTEM,Y,N
CMMN_264,012203,워크넷 직종분류,자재·구매 부서장,9,01,,,,,2021-08-09 13:15:32,SYSTEM,2021-08-09 13:15:32,SYSTEM,Y,N
CMMN_264,012204,워크넷 직종분류,재무·회계·경리 부서장,10,01,,,,,2021-08-09 13:15:32,SYSTEM,2021-08-09 13:15:32,SYSTEM,Y,N
CMMN_264,012205,워크넷 직종분류,기타 경영지원 서비스 관리자,11,01,,,,,2021-08-09 13:15:32,SYSTEM,2021-08-09 13:15:32,SYSTEM,Y,N
CMMN_264,012300,워크넷 직종분류,마케팅·광고·홍보 관리자(부서장),12,02,,,,,2021-08-09 13:15:32,SYSTEM,2021-08-09 13:15:32,SYSTEM,Y,N
CMMN_264,012400,워크넷 직종분류,금융·보험 관리자(부서장),13,01,,,,,2021-08-09 13:15:32,SYSTEM,2021-08-09 13:15:32,SYSTEM,Y,N
CMMN_264,013,워크넷 직종분류,미용·여행·숙박·음식 등 개인서비스 및 영업·판매·운송 관리직,28,07,,,,,2021-08-09 13:15:33,SYSTEM,2021-08-09 13:15:33,SYSTEM,Y,N
CMMN_264,013100,워크넷 직종분류,연구 관리자,15,14,,,,,2021-08-09 13:15:32,SYSTEM,2021-08-09 13:15:32,SYSTEM,Y,N
CMMN_264,013200,워크넷 직종분류,교육 관리자(부서장),16,10,,,,,2021-08-09 13:15:33,SYSTEM,2021-08-09 13:15:33,SYSTEM,Y,N
CMMN_264,013300,워크넷 직종분류,법률·경찰·소방·교도 관리자,17,16,,,,,2021-08-09 13:15:33,SYSTEM,2021-08-09 13:15:33,SYSTEM,Y,N
CMMN_264,013400,워크넷 직종분류,보건·의료 관리자(부서장),18,12,,,,,2021-08-09 13:15:33,SYSTEM,2021-08-09 13:15:33,SYSTEM,Y,N
CMMN_264,013500,워크넷 직종분류,사회복지 관리자(부서장),19,12,,,,,2021-08-09 13:15:33,SYSTEM,2021-08-09 13:15:33,SYSTEM,Y,N
CMMN_264,013600,워크넷 직종분류,예술·디자인·방송 관리자(부서장),20,14,,,,,2021-08-09 13:15:33,SYSTEM,2021-08-09 13:15:33,SYSTEM,Y,N
CMMN_264,013700,워크넷 직종분류,정보통신 관리자(부서장),21,03,,,,,2021-08-09 13:15:33,SYSTEM,2021-08-09 13:15:33,SYSTEM,Y,N
CMMN_264,013900,워크넷 직종분류,부동산·조사·인력알선 및 기타 전문서비스 관리자,22,01,,,,,2021-08-09 13:15:33,SYSTEM,2021-08-09 13:15:33,SYSTEM,Y,N
CMMN_264,013901,워크넷 직종분류,부동산·임대업 관리자,23,01,,,,,2021-08-09 13:15:33,SYSTEM,2021-08-09 13:15:33,SYSTEM,Y,N
CMMN_264,013902,워크넷 직종분류,아파트 관리소장,24,01,,,,,2021-08-09 13:15:33,SYSTEM,2021-08-09 13:15:33,SYSTEM,Y,N
CMMN_264,013903,워크넷 직종분류,빌딩 관리소장,25,01,,,,,2021-08-09 13:15:33,SYSTEM,2021-08-09 13:15:33,SYSTEM,Y,N
CMMN_264,013904,워크넷 직종분류,"조사, 인력공급·알선 및 기타 전문서비스 관리자(부서장)",26,01,,,,,2021-08-09 13:15:33,SYSTEM,2021-08-09 13:15:33,SYSTEM,Y,N
CMMN_264,014,워크넷 직종분류,건설·채굴·제조·생산 관리직,40,11,,,,,2021-08-09 13:15:34,SYSTEM,2021-08-09 13:15:34,SYSTEM,Y,N
CMMN_264,014100,워크넷 직종분류,미용·여행·숙박·스포츠 관리자,27,01,,,,,2021-08-09 13:15:33,SYSTEM,2021-08-09 13:15:33,SYSTEM,Y,N
CMMN_264,014101,워크넷 직종분류,미용·여행·숙박 관리자,29,07,,,,,2021-08-09 13:15:33,SYSTEM,2021-08-09 13:15:33,SYSTEM,Y,N
CMMN_264,014102,워크넷 직종분류,스포츠 관리자,30,07,,,,,2021-08-09 13:15:33,SYSTEM,2021-08-09 13:15:33,SYSTEM,Y,N
CMMN_264,014200,워크넷 직종분류,음식서비스 관리자,31,07,,,,,2021-08-09 13:15:33,SYSTEM,2021-08-09 13:15:33,SYSTEM,Y,N
CMMN_264,014300,워크넷 직종분류,경비·청소 관리자,32,07,,,,,2021-08-09 13:15:34,SYSTEM,2021-08-09 13:15:34,SYSTEM,Y,N
CMMN_264,014301,워크넷 직종분류,경비 관리자,33,07,,,,,2021-08-09 13:15:34,SYSTEM,2021-08-09 13:15:34,SYSTEM,Y,N
