GRP_CD,CMN_CD,GRP_NM,CMN_NM,ORDR,REF_KEY_1,REF_KEY_2,REF_KEY_3,REF_KEY_4,REF_KEY_5,REG_DT,REG_USR,UPD_DT,UPD_USR,USE_YN,DEL_YN
JOBKO_02,1000001,잡코리아 직종분류,호텔·여행·항공,1,521,5,,,,2021-08-09 10:42:52,SYSTEM,2021-08-09 10:42:52,SYSTEM,Y,N
JOBKO_02,1000002,잡코리아 직종분류,스포츠·여가·레저,2,521,5,,,,2021-08-09 10:42:52,SYSTEM,2021-08-09 10:42:52,SYSTEM,Y,N
JOBKO_02,1000003,잡코리아 직종분류,음식료·외식·프랜차이즈,3,531,5,,,,2021-08-09 10:42:52,SYSTEM,2021-08-09 10:42:52,SYSTEM,Y,N
JOBKO_02,1000004,잡코리아 직종분류,뷰티·미용,4,511,5,,,,2021-08-09 10:42:52,SYSTEM,2021-08-09 10:42:52,SYSTEM,Y,N
JOBKO_02,1000005,잡코리아 직종분류,콜센터·아웃소싱·기타,5,521,5,,,,2021-08-09 10:42:52,SYSTEM,2021-08-09 10:42:52,SYSTEM,Y,N
JOBKO_02,1000006,잡코리아 직종분류,정비·A/S·카센터,6,562,5,,,,2021-08-09 10:42:52,SYSTEM,2021-08-09 10:42:52,SYSTEM,Y,N
JOBKO_02,1000007,잡코리아 직종분류,렌탈·임대·리스,7,562,5,,,,2021-08-09 10:42:52,SYSTEM,2021-08-09 10:42:52,SYSTEM,Y,N
JOBKO_02,1000008,잡코리아 직종분류,서치펌·헤드헌팅,8,562,5,,,,2021-08-09 10:42:52,SYSTEM,2021-08-09 10:42:52,SYSTEM,Y,N
JOBKO_02,1000009,잡코리아 직종분류,시설관리·빌딩·경비,9,542,5,,,,2021-08-09 10:42:53,SYSTEM,2021-08-09 10:42:53,SYSTEM,Y,N
JOBKO_02,1000010,잡코리아 직종분류,웨딩·상조·이벤트,10,512,5,,,,2021-08-09 10:42:53,SYSTEM,2021-08-09 10:42:53,SYSTEM,Y,N
JOBKO_02,1000011,잡코리아 직종분류,은행·금융,11,032,0,,,,2021-08-09 10:42:53,SYSTEM,2021-08-09 10:42:53,SYSTEM,Y,N
JOBKO_02,1000012,잡코리아 직종분류,캐피탈·대출,12,033,0,,,,2021-08-09 10:42:53,SYSTEM,2021-08-09 10:42:53,SYSTEM,Y,N
JOBKO_02,1000013,잡코리아 직종분류,증권·보험·카드,13,031,0,,,,2021-08-09 10:42:53,SYSTEM,2021-08-09 10:42:53,SYSTEM,Y,N
JOBKO_02,1000014,잡코리아 직종분류,물류·운송·배송,14,624,6,,,,2021-08-09 10:42:53,SYSTEM,2021-08-09 10:42:53,SYSTEM,Y,N
JOBKO_02,1000015,잡코리아 직종분류,무역·상사,15,624,6,,,,2021-08-09 10:42:53,SYSTEM,2021-08-09 10:42:53,SYSTEM,Y,N
JOBKO_02,1000016,잡코리아 직종분류,백화점·유통·도소매,16,616,6,,,,2021-08-09 10:42:53,SYSTEM,2021-08-09 10:42:53,SYSTEM,Y,N
JOBKO_02,1000017,잡코리아 직종분류,부동산·중개·임대,17,705,7,,,,2021-08-09 10:42:53,SYSTEM,2021-08-09 10:42:53,SYSTEM,Y,N
JOBKO_02,1000018,잡코리아 직종분류,건축·설비·환경,18,705,7,,,,2021-08-09 10:42:53,SYSTEM,2021-08-09 10:42:53,SYSTEM,Y,N
JOBKO_02,1000019,잡코리아 직종분류,건설·시공·토목·조경,19,706,7,,,,2021-08-09 10:42:53,SYSTEM,2021-08-09 10:42:53,SYSTEM,Y,N
JOBKO_02,1000020,잡코리아 직종분류,인테리어·자재,20,701,7,,,,2021-08-09 10:42:53,SYSTEM,2021-08-09 10:42:53,SYSTEM,Y,N
JOBKO_02,1000021,잡코리아 직종분류,학교(초·중·고·대학·특수),21,212,2,,,,2021-08-09 10:42:53,SYSTEM,2021-08-09 10:42:53,SYSTEM,Y,N
JOBKO_02,1000022,잡코리아 직종분류,유아·유치원·어린이집,22,213,2,,,,2021-08-09 10:42:53,SYSTEM,2021-08-09 10:42:53,SYSTEM,Y,N
JOBKO_02,1000023,잡코리아 직종분류,학원·어학원·교육원,23,214,2,,,,2021-08-09 10:42:53,SYSTEM,2021-08-09 10:42:53,SYSTEM,Y,N
JOBKO_02,1000024,잡코리아 직종분류,학습지·방문교육,24,214,2,,,,2021-08-09 10:42:53,SYSTEM,2021-08-09 10:42:53,SYSTEM,Y,N
JOBKO_02,1000025,잡코리아 직종분류,의료(간호·원무·상담),25,304,3,,,,2021-08-09 10:42:54,SYSTEM,2021-08-09 10:42:54,SYSTEM,Y,N
JOBKO_02,1000026,잡코리아 직종분류,의료(병원분류별),26,301,3,,,,2021-08-09 10:42:54,SYSTEM,2021-08-09 10:42:54,SYSTEM,Y,N
JOBKO_02,1000027,잡코리아 직종분류,의료(진료과별),27,306,3,,,,2021-08-09 10:42:54,SYSTEM,2021-08-09 10:42:54,SYSTEM,Y,N
JOBKO_02,1000028,잡코리아 직종분류,제약·보건·바이오,28,307,3,,,,2021-08-09 10:42:54,SYSTEM,2021-08-09 10:42:54,SYSTEM,Y,N
JOBKO_02,1000029,잡코리아 직종분류,사회복지·요양,29,231,3,,,,2021-08-09 10:42:54,SYSTEM,2021-08-09 10:42:54,SYSTEM,Y,N
JOBKO_02,1000030,잡코리아 직종분류,방송·케이블·프로덕션,30,416,4,,,,2021-08-09 10:42:54,SYSTEM,2021-08-09 10:42:54,SYSTEM,Y,N
JOBKO_02,1000031,잡코리아 직종분류,신문·잡지·언론사,31,412,4,,,,2021-08-09 10:42:54,SYSTEM,2021-08-09 10:42:54,SYSTEM,Y,N
JOBKO_02,1000032,잡코리아 직종분류,광고·홍보·전시,32,417,4,,,,2021-08-09 10:42:54,SYSTEM,2021-08-09 10:42:54,SYSTEM,Y,N
JOBKO_02,1000033,잡코리아 직종분류,영화·음반·배급,33,416,4,,,,2021-08-09 10:42:54,SYSTEM,2021-08-09 10:42:54,SYSTEM,Y,N
JOBKO_02,1000034,잡코리아 직종분류,연예·엔터테인먼트,34,417,4,,,,2021-08-09 10:42:54,SYSTEM,2021-08-09 10:42:54,SYSTEM,Y,N
JOBKO_02,1000035,잡코리아 직종분류,출판·인쇄·사진,35,411,4,,,,2021-08-09 10:42:54,SYSTEM,2021-08-09 10:42:54,SYSTEM,Y,N
JOBKO_02,1000036,잡코리아 직종분류,문화·공연·예술,36,414,4,,,,2021-08-09 10:42:54,SYSTEM,2021-08-09 10:42:54,SYSTEM,Y,N
JOBKO_02,1000037,잡코리아 직종분류,디자인·CAD,37,415,4,,,,2021-08-09 10:42:54,SYSTEM,2021-08-09 10:42:54,SYSTEM,Y,N
JOBKO_02,1000038,잡코리아 직종분류,솔루션·SI·CRM·ERP,38,133,1,,,,2021-08-09 10:42:54,SYSTEM,2021-08-09 10:42:54,SYSTEM,Y,N
JOBKO_02,1000039,잡코리아 직종분류,웹에이전시,39,133,1,,,,2021-08-09 10:42:55,SYSTEM,2021-08-09 10:42:55,SYSTEM,Y,N
JOBKO_02,1000040,잡코리아 직종분류,쇼핑몰·오픈마켓·소셜커머스,40,133,1,,,,2021-08-09 10:42:55,SYSTEM,2021-08-09 10:42:55,SYSTEM,Y,N
JOBKO_02,1000041,잡코리아 직종분류,포털·컨텐츠·커뮤니티,41,133,1,,,,2021-08-09 10:42:55,SYSTEM,2021-08-09 10:42:55,SYSTEM,Y,N
JOBKO_02,1000042,잡코리아 직종분류,네트워크·통신서비스,42,133,1,,,,2021-08-09 10:42:55,SYSTEM,2021-08-09 10:42:55,SYSTEM,Y,N
JOBKO_02,1000043,잡코리아 직종분류,정보보안,43,135,1,,,,2021-08-09 10:42:55,SYSTEM,2021-08-09 10:42:55,SYSTEM,Y,N
JOBKO_02,1000044,잡코리아 직종분류,컴퓨터·하드웨어·장비,44,131,1,,,,2021-08-09 10:42:55,SYSTEM,2021-08-09 10:42:55,SYSTEM,Y,N
