WANTED_AUTH_NO,COMPANY,TITLE,JOBS_NM,SAL_TP_NM,SAL_TP_CD,SAL,SAL_AMT,REGION,REGION_CD,HOLIDAY_TP_NM,MIN_EDUBG,MIN_EDUBG_CD,MAX_EDUBG,MAX_EDUBG_CD,CAREER,CAREER_CD,EMP_TP_NM,PSN_CNT,RCPT_MTHD,WANTED_REG_DT,CLOSE_DT,INFO_SVC,WANTED_INFO_URL,ZIP_CD,STRTNM_CD,BASIC_ADDR,DETAIL_ADDR,RD_CNT,SHERE_CNT,BIZ_NO,REG_DT,REG_USR,UPD_DT,UPD_USR,DEL_YN,USE_YN,INTRST_CNT,CL_CD,JOB_CAREER_CD,JOBS_CD,JOB_AREA_CD,JOB_ACDMCR_CD,EMP_TP_CD,JOB_EMP_TP_CD,SEOUL_CAPITAL_AREA_YN
K180022606100019,물류센터 컨테이너보관 위너스물류,위너스물류 물류사무원 채용,물류 사무원(물류 관리사)(028408),월급,M,250만원 ~ 250만원,250 ~ 250,경기 용인시 처인구,41461,주5일근무,학력무관,0,null,,관계없음,Z,기간의 정함이 없는 근로계약/ 파견근로 비희망/ 대체인력채용 비희망,1,고용24,2026.6.10,채용시까지  26-08-09,VALIDATION,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=K180022606100019&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,17118,4.15E+11,경기도 용인시 처인구 남사읍 전나무골길2번길 56-8,,0,0,6510702090,2026.6.24 4:21,SYSTEM,2026.6.24 4:21,SYSTEM,N,Y,0,28408,1,28408,4146,0,10,1,Y
KJBJ002606150004,（주）삼성보안공사,[거제동] 아파트 청소원 모집,건물 청소원(561100),월급,M,174만원 ~ 174만원,174 ~ 174,부산 연제구,26470,주6일근무,학력무관,0,null,,관계없음,Z,기간의 정함이 있는 근로계약(시간(선택)제)3 개월/ 파견근로 비희망/ 대체인력채용 비희망,1,"방문,기타(* 담당자와 통화 후 면접시간, 장소 안내 받으시길 바랍니다.* 담당자: 사상구청 일자리센터 051-310-5195)",2026.6.15,채용시까지  26-08-14,VALIDATION,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=KJBJ002606150004&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,47507,2.65E+11,부산광역시 연제구 법원북로 93,.,0,0,6048137079,2026.6.24 3:55,SYSTEM,2026.6.24 3:55,SYSTEM,N,Y,0,561100,1,561100,1000,0,21,2,N
K140132606150034,유한회사농업회사법인삼미식품,파우더 생산 정규직 채용,기타 제조 관련 단순 종사원(890000),월급,M,240만원,240,경북 경산시,47290,주5일근무,학력무관,0,null,,신입,N,기간의 정함이 없는 근로계약/ 파견근로 비희망/ 대체인력채용 비희망,1,고용24,2026.6.15,채용시까지  26-08-14,VALIDATION,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=K140132606150034&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,38551,4.73E+11,경상북도 경산시 자인면 자인공단2로4길 8,.,0,0,5948701131,2026.6.24 3:49,SYSTEM,2026.6.24 3:49,SYSTEM,N,Y,0,890000,2,890000,1000,0,10,1,N
K180032606160075,창성테크,머시닝센터(MCT) 직원 모집,머시닝센터(MCT) 조작원(813210),연봉,Y,3000만원 ~ 5500만원,3000 ~ 5500,경기도 화성시 효행구,41593,주5일근무,학력무관,0,null,,경력,E,기간의 정함이 없는 근로계약/ 파견근로 비희망/ 대체인력채용 비희망,2,"방문,팩스,고용24,이메일",2026.6.16,채용시까지  26-08-15,VALIDATION,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=K180032606160075&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,18523,4.16E+11,경기도 화성시 효행구 정남면 내향로 128-48,창성테크,0,0,1353186119,2026.6.24 3:37,SYSTEM,2026.6.24 3:37,SYSTEM,N,Y,0,813210,3,813210,,0,10,1,Y
KF10422606160007,가온방문간호요양센터,요양보호사 구인,재가 요양보호사(550102),시급,H,10320원,10320,전북 익산시,52140,주5일근무,학력무관,0,null,,관계없음,Z,기간의 정함이 없는 근로계약/ 파견근로 비희망/ 대체인력채용 비희망,1,방문,2026.6.16,채용시까지  26-08-15,VALIDATION,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=KF10422606160007&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,54570,5.21E+11,전북특별자치도 익산시 무왕로 1671,건너편 근처,0,0,4448000463,2026.6.24 3:33,SYSTEM,2026.6.24 3:33,SYSTEM,N,Y,0,550102,1,550102,,0,10,1,N
K180312606180019,한국민간교육개발원,평생교육 및 고용노동부 교육을 담당하실 행정 직원...,기타 정부 행정 사무원(025900),월급,M,220만원 ~ 220만원,220 ~ 220,경기 성남시 분당구,41135,주5일근무,학력무관,0,null,,관계없음,Z,기간의 정함이 없는 근로계약(시간(선택)제)/ 파견근로 비희망/ 대체인력채용 비희망,1,"방문,고용24,이메일",2026.6.18,채용시까지  26-08-16,VALIDATION,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=K180312606180019&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,13637,4.11E+11,경기도 성남시 분당구 성남대로 34,"702호 (오리역 3번출구, 도보 1분)",0,0,1028261099,2026.6.24 3:13,SYSTEM,2026.6.24 3:13,SYSTEM,N,Y,0,25900,1,25900,4113,0,11,1,Y
K170052606190011,튼튼요양병원,튼튼요양병원 조리원 채용 공고,주방 보조원(일반 음식점)(532301),월급,M,276만원 ~ 280만원,276 ~ 280,대전 중구,30140,주5일근무,학력무관,0,null,,경력,E,기간의 정함이 없는 근로계약/ 파견근로 비희망/ 대체인력채용 비희망,1,고용24,2026.6.19,채용시까지  26-08-18,VALIDATION,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=K170052606190011&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,34815,3.01E+11,대전광역시 중구 목중로 9,지하1층 영양팀,0,0,1319425959,2026.6.24 3:04,SYSTEM,2026.6.24 3:04,SYSTEM,N,Y,0,532301,3,532301,1000,0,10,1,N
Dd03932606190029,재단법인 경기도경제과학진흥원,[장애인병행채용] 경기도경제과학진흥원 휴직 대체인...,총무 및 일반 사무원(026501),연봉,Y,2950만원 ~ 2950만원,2950 ~ 2950,경기 수원시 영통구,41117,주5일근무,학력무관,0,null,,관계없음,Z,기간의 정함이 있는 근로계약12 개월/ 파견근로 비희망/ 대체인력채용 비희망,17,기타(온라인 지원 https://recruit.incruit.com/gbsa/),2026.6.19,2026.7.9,VALIDATION,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=Dd03932606190029&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,16229,4.11E+11,경기도 수원시 영통구 광교로 107,(이의동),0,0,1248208755,2026.6.24 3:03,SYSTEM,2026.6.24 3:03,SYSTEM,N,Y,0,26501,1,26501,4111,0,20,2,Y
KJ20912606190028,한울재가복지센터,[백석동] 재가요양보호사 모집,재가 요양보호사(550102),시급,H,10320원 ~ 13200원,10320 ~ 13200,경기 고양시 일산동구,41285,주5일근무,학력무관,0,null,,관계없음,Z,기간의 정함이 없는 근로계약(시간(선택)제)/ 파견근로 비희망/ 대체인력채용 비희망,1,기타(채용담당자 (010-2712-2022) 문의 후 지원),2026.6.19,채용시까지  26-07-03,VALIDATION,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=KJ20912606190028&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,10449,4.13E+11,경기도 고양시 일산동구 경의로 47,현대밀라트,0,0,2738002044,2026.6.24 3:00,SYSTEM,2026.6.24 3:00,SYSTEM,N,Y,0,550102,1,550102,4128,0,11,1,Y
K180012606220014,쉴만한물가노인복지센터,4등급 어르신(독거) 모셔줄 요양보호사 구인합니다...,재가 요양보호사(550102),시급,H,10320원,10320,경기 수원시 장안구,41111,주6일근무,학력무관,0,null,,관계없음,Z,기간의 정함이 없는 근로계약(시간(선택)제)/ 파견근로 비희망/ 대체인력채용 비희망,1,방문,2026.6.22,채용시까지  26-08-20,VALIDATION,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=K180012606220014&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,16332,4.11E+11,경기도 수원시 장안구 천천로22번길 34,513동,0,0,1248039308,2026.6.24 2:57,SYSTEM,2026.6.24 2:57,SYSTEM,N,Y,0,550102,1,550102,4111,0,11,1,Y
