GI_NO,COM_URL,COM_NAME,GI_SUBJECT,PART_NO_INFO,GI_PART_NO_CD,CAREER_INFO,GI_CAREER_CD,CAREER_CNT_INFO,GI_CAREER_YEAR_CNT,PAY_INFO,GI_PAY_CD,PAY_TERM_INFO,GI_PAY_TERM,GI_PAY_FLAG,EDU_CUTLINE_INFO,GI_EDU_CUTLINE_CD,GI_EDU_OPTION,GI_KEYWORD,GI_COMMENT,PASS_TYPE_INFO,GI_PASS_TYPE_CD,JOB_TYPE_INFO,GI_JOB_TYPE_CD,GI_JOB_OPTION,STAFF,JIKGUB_INFO,JIKGUB_CD,AREA_INFO,AREA_CD,GI_END_DATE,JK_URL,JK_QR,GI_W_DATE,GI_E_DATE,RD_CNT,SHERE_CNT,BIZ_NO,REG_DT,REG_USR,UPD_DT,UPD_USR,USE_YN,DEL_YN,INTRST_CNT,CL_CD,JOB_CAREER_CD,JOB_AREA_CD,JOB_EMP_TP_CD,JOB_ACDMCR_CD
51057935,https://www.jobkorea.co.kr/Recruit/Co_Read/C/bumjinelec?Oem_Code=C900&api=232,범진전자㈜,[범진전자] 회계팀 & 자금팀 경력 채용 (면접비 지급),전기·전자·제어,"1,000,052,100,020,710,000,000,000,000",경력,2,3년 이상,3,회사 내규에 따름,0,,"0,0",1,대졸(4년),5,0,"결산,관리회계,부가세신고,전자회로,재무회계,세무신고,자금관리,세무조정,Firmware,재무기획,세무기장,법인결산,입출금관리",,잡코리아 온라인 접수,100000,정규직,1,,○,"사원급, 주임~대리급, 과장~차장급, 팀원","1,2,3,7",수원시 권선구,B180,20260711,https://www.jobkorea.co.kr/Recruit/GI_Read/49359656?Oem_Code=C900&api=232,,20260611,20260611,0,0,1248634703,2026.6.12 2:01,SYSTEM,2026.6.12 2:01,SYSTEM,Y,N,0,834,3,4111,1,5
51057934,https://www.jobkorea.co.kr/Recruit/Co_Read/C/nzin18454?Oem_Code=C900&api=232,카카오게임즈,신작 MMORPG 사업PM 영입,게임·애니메이션,"10,000,451,000,185",경력,2,5년 이상,5,회사 내규에 따름,0,,"0,0",0,학력무관,0,0,"2D온라인게임,3D온라인게임,게임개발,모바일앱게임,캐주얼게임,사업기획",,홈페이지 지원,10,정규직,1,,○,,,성남시 분당구,B150,20260706,https://www.jobkorea.co.kr/Recruit/GI_Read/49359655?Oem_Code=C900&api=232,,20260611,20260611,0,0,1448118454,2026.6.12 2:01,SYSTEM,2026.6.12 2:01,SYSTEM,Y,N,0,133,3,4113,1,0
51053869,https://www.jobkorea.co.kr/Recruit/Co_Read/C/innotree12?Oem_Code=C900&api=232,이노트리,IBM ETL솔루션 DataStage 개발자,솔루션·SI·CRM·ERP,"10,000,381,000,236",경력,2,1년 이상,1,회사 내규에 따름,0,,"0,0",1,대졸(2~3년),4,0,ETL,,잡코리아 온라인 접수,100000,"계약직, 프리랜서","2,6",,○,"주임~대리급, 과장~차장급, 팀원","2,3,7","종로구, 의왕시","I230,B320",20260629,https://www.jobkorea.co.kr/Recruit/GI_Read/49355206?Oem_Code=C900&api=232,,20260611,20260611,0,0,2208829991,2026.6.12 2:01,SYSTEM,2026.6.12 2:01,SYSTEM,Y,N,0,133,3,"11,004,143","02,04",4
51057939,https://www.jobkorea.co.kr/Recruit/Co_Read/C/wavecom119?Oem_Code=C900&api=232,컴퓨터수리,서울/경기/인천 노트북 수리 엔지니어 채용,컴퓨터·하드웨어·장비,"10,000,441,000,309",관계없음,4,,,월급,2,450만원 ~ 800만원,"450,800",0,학력무관,0,0,"A·S수리,기술지원,하드웨어,컴퓨터,AS,유지보수",,잡코리아 온라인 접수,100000,"정규직, 계약직, 프리랜서","1,2,6",,○○,,,파주시     ,B350,20260612,https://www.jobkorea.co.kr/Recruit/GI_Read/49359660?Oem_Code=C900&api=232,,20260611,20260611,0,0,4082761310,2026.6.12 2:01,SYSTEM,2026.6.12 2:01,SYSTEM,Y,N,0,131,1,4148,"01,02,04",0
51057932,https://www.jobkorea.co.kr/Recruit/Co_Read/C/c-042003?Oem_Code=C900&api=232,에스디바이오센서㈜,[6월/신입경력/기흥] 상품기획 계약사원 채용,전기·전자·제어,"10,000,521,000,187",신입/경력,3,1년 이상,1,회사 내규에 따름,0,,"0,0",0,대졸(4년),5,1,"상품기획,F/U,홍보물제작지원",,홈페이지 지원,10,계약직,2,,○,,,용인시 기흥구,B310,20260621,https://www.jobkorea.co.kr/Recruit/GI_Read/49359653?Oem_Code=C900&api=232,,20260611,20260611,0,0,1358613315,2026.6.12 2:01,SYSTEM,2026.6.12 2:01,SYSTEM,Y,N,0,834,4,4146,2,5
51057936,https://www.jobkorea.co.kr/Recruit/Co_Read/C/healthypiasnc?Oem_Code=C900&api=232,㈜루트비,오프라인 영업 정규직,"쇼핑몰·오픈마켓·소셜커머스, 백화점·유통·도소매","10,000,401,000,016,100,000,000,000,000,000,000",경력,2,3년 이상,3,회사 내규에 따름,0,,"0,0",0,학력무관,0,0,"MD,상품기획,국내영업,오프라인영업",,"잡코리아 온라인 접수, E-메일 입사지원",110000,정규직,1,,○,"주임~대리급, 과장~차장급, 부장급","2,3,4","부천시, 광명시, 시흥시, 안양시 동안구, 안양시 만안구, 강서구, 구로구, 금천구, 양천구, 계양구, 동구, 부평구","B125,B050,B210,B240,B250,I040,I070,I080,I190,K020,K050,K060",20700101,https://www.jobkorea.co.kr/Recruit/GI_Read/49359657?Oem_Code=C900&api=232,,20260611,20260611,0,0,1308706500,2026.6.12 2:01,SYSTEM,2026.6.12 2:01,SYSTEM,Y,N,0,133,3,"411,941,214,139,411,000,000,000",1,0
51044340,https://www.jobkorea.co.kr/Recruit/Co_Read/C/regen2068?Oem_Code=C900&api=232,지수아이디㈜,"인테리어 현장관리 전기,마감가능자 모집",인테리어·자재,"100,002,010,003,601,000,000",경력,2,2년 이상,2,회사 내규에 따름,0,,"0,0",1,학력무관,0,0,"전기배선,시공관리",,잡코리아 온라인 접수,100000,계약직,2,,1,면접 후 결정,6,수원시 영통구,B201,20260710,https://www.jobkorea.co.kr/Recruit/GI_Read/49344541?Oem_Code=C900&api=232,,20260610,20260611,0,0,6208159584,2026.6.12 2:01,SYSTEM,2026.6.12 2:01,SYSTEM,Y,N,0,701,3,4111,2,0
51057962,https://www.jobkorea.co.kr/Recruit/Co_Read/C/aceelectric?Oem_Code=C900&api=232,에이스일렉트릭㈜,수배전반 설계 담당자 모집,전기·전자·제어,"10,000,521,000,328",관계없음,4,,,연봉,1,3000만원 ~ 6000만원,"30,006,000",1,대졸(2~3년),4,0,"전기설계,전기기사,전기회로,전기설비,2D설계,전기기술",,잡코리아 온라인 접수,100000,정규직,1,,○,면접 후 결정,6,김포시     ,B090,20260711,https://www.jobkorea.co.kr/Recruit/GI_Read/49359688?Oem_Code=C900&api=232,,20260611,20260611,0,0,5268102514,2026.6.12 2:01,SYSTEM,2026.6.12 2:01,SYSTEM,Y,N,0,834,1,4157,1,4
51057947,https://www.jobkorea.co.kr/Recruit/Co_Read/C/ktchr01?Oem_Code=C900&api=232,(재)한국기계전기전자시험연구원,의료바이오센터 연구과제 업무 보조 계약직(신입) 채용,협회·단체,"1,000,049,100,019,210,000,000,000,000",신입,1,,,연봉,1,3600만원 ~ 3600만원,"36,003,600",0,대졸(4년),5,0,"자료조사,재단법인,행정,의료기기연구,에너지,문서작성,생명공학,플라스틱·PVC,화장품,의약외품연구,제품개발,문서관리,제약·바이오R&D,전산입력,미생물",,"잡코리아 온라인 접수, E-메일 입사지원",110000,계약직,2,,0,사원급     ,1,"군포시, 경기도 전지역, 서울특별시 전지역","B080,B000,I000",20260630,https://www.jobkorea.co.kr/Recruit/GI_Read/49359670?Oem_Code=C900&api=232,,20260611,20260611,0,0,1238214098,2026.6.12 2:01,SYSTEM,2026.6.12 2:01,SYSTEM,Y,N,0,26,2,"414,141,001,100",2,5
51057948,https://www.jobkorea.co.kr/Recruit/Co_Read/C/kornic?Oem_Code=C900&api=232,AP시스템㈜,2026년 AP시스템 안전경영부문 품질팀 채용,반도체·디스플레이·광학,"1,000,053,100,034,010,000,000,000,000",신입,1,,,회사 내규에 따름,0,,"0,0",0,대졸(2~3년),4,0,"상품입출고,품질보증,재고관리,검증,정밀광학,디스플레이,환경관리,IC설계,LED,회로설계,ISO",,홈페이지 지원,10,정규직,1,,○,,,화성시     ,B390,20260621,https://www.jobkorea.co.kr/Recruit/GI_Read/49359673?Oem_Code=C900&api=232,,20260611,20260611,0,0,2048700511,2026.6.12 2:01,SYSTEM,2026.6.12 2:01,SYSTEM,Y,N,0,890,2,4159,1,4
